片段名称,排名,关键词,词频数量,词频百分比(%)
《传统贯口：老爹大战米奇》,5,哈哈哈哈,2807,1.27
《传统贯口：老爹大战米奇》,6,职业,2744,1.24
《传统贯口：老爹大战米奇》,7,接,2299,1.04
《传统贯口：老爹大战米奇》,8,技术,2002,0.90
《传统贯口：老爹大战米奇》,9,签到,1867,0.84
《传统贯口：老爹大战米奇》,10,科技,1556,0.70
《传统贯口：老爹大战米奇》,11,啊啊啊,1388,0.63
《传统贯口：老爹大战米奇》,12,灯节,1281,0.58
《传统贯口：老爹大战米奇》,13,快乐,1276,0.58
《传统贯口：老爹大战米奇》,14,海,1273,0.57
《传统贯口：老爹大战米奇》,15,厉害,1045,0.47
《传统贯口：老爹大战米奇》,16,有,1025,0.46
《传统贯口：老爹大战米奇》,17,师范大学,968,0.44
《传统贯口：老爹大战米奇》,18,接接,955,0.43
《传统贯口：老爹大战米奇》,19,新年快乐,953,0.43
《传统贯口：老爹大战米奇》,20,祝,894,0.40
豫剧《铡美案》选段,1,好,458,5.17
豫剧《铡美案》选段,2,好听,267,3.02
豫剧《铡美案》选段,3,新年快乐,173,1.95
豫剧《铡美案》选段,4,来,137,1.55
豫剧《铡美案》选段,5,真的,126,1.42
豫剧《铡美案》选段,6,厉害,123,1.39
豫剧《铡美案》选段,7,老师,116,1.31
豫剧《铡美案》选段,8,专业,100,1.13
豫剧《铡美案》选段,9,好好,94,1.06
豫剧《铡美案》选段,10,听,90,1.02
豫剧《铡美案》选段,11,戏曲,84,0.95
豫剧《铡美案》选段,12,太,80,0.90
豫剧《铡美案》选段,13,高手,80,0.90
豫剧《铡美案》选段,14,哇,75,0.85
豫剧《铡美案》选段,15,还有,70,0.79
豫剧《铡美案》选段,16,国,65,0.73
豫剧《铡美案》选段,17,牛,60,0.68
豫剧《铡美案》选段,18,啊啊啊,56,0.63
豫剧《铡美案》选段,19,手语,55,0.62
豫剧《铡美案》选段,20,不是,53,0.60
京剧《昭君出塞》片段,1,好,458,5.17
京剧《昭君出塞》片段,2,好听,267,3.02
京剧《昭君出塞》片段,3,新年快乐,173,1.95
京剧《昭君出塞》片段,4,来,137,1.55
京剧《昭君出塞》片段,5,真的,126,1.42
京剧《昭君出塞》片段,6,厉害,123,1.39
京剧《昭君出塞》片段,7,老师,116,1.31
京剧《昭君出塞》片段,8,专业,100,1.13
京剧《昭君出塞》片段,9,好好,94,1.06
京剧《昭君出塞》片段,10,听,90,1.02
京剧《昭君出塞》片段,11,戏曲,84,0.95
京剧《昭君出塞》片段,12,太,80,0.90
京剧《昭君出塞》片段,13,高手,80,0.90
京剧《昭君出塞》片段,14,哇,75,0.85
京剧《昭君出塞》片段,15,还有,70,0.79
京剧《昭君出塞》片段,16,国,65,0.73
京剧《昭君出塞》片段,17,牛,60,0.68
京剧《昭君出塞》片段,18,啊啊啊,56,0.63
京剧《昭君出塞》片段,19,手语,55,0.62
京剧《昭君出塞》片段,20,不是,53,0.60
《见春山》MV,1,发来,1128,5.41
《见春山》MV,2,好,766,3.68
《见春山》MV,3,好听,327,1.57
《见春山》MV,4,大学,268,1.29
《见春山》MV,5,学院,255,1.22
《见春山》MV,6,新年快乐,245,1.18
《见春山》MV,7,厉害,222,1.07
《见春山》MV,8,啊啊啊,190,0.91
《见春山》MV,9,快乐,176,0.84
《见春山》MV,10,专业,175,0.84
《见春山》MV,11,真的,172,0.83
《见春山》MV,12,来,168,0.81
《见春山》MV,13,哇,142,0.68
《见春山》MV,14,老师,141,0.68
《见春山》MV,15,好好,133,0.64
《见春山》MV,16,牛,131,0.63
《见春山》MV,17,有,129,0.62
《见春山》MV,18,太,126,0.60
《见春山》MV,19,哈哈哈哈,122,0.59
《见春山》MV,20,听,112,0.54
《西藏热巴鼓舞》,1,发来,1118,3.30
《西藏热巴鼓舞》,2,心想事成,994,2.94
《西藏热巴鼓舞》,3,上岸,756,2.23
《西藏热巴鼓舞》,4,万事如意,611,1.80
《西藏热巴鼓舞》,5,好,565,1.67
《西藏热巴鼓舞》,6,身体健康,513,1.51
《西藏热巴鼓舞》,7,平安,494,1.46
《西藏热巴鼓舞》,8,2025,407,1.20
《西藏热巴鼓舞》,9,万事,392,1.16
《西藏热巴鼓舞》,10,顺利,356,1.05
《西藏热巴鼓舞》,11,家人,350,1.03
《西藏热巴鼓舞》,12,学院,313,0.92
《西藏热巴鼓舞》,13,大学,309,0.91
《西藏热巴鼓舞》,14,顺遂,265,0.78
《西藏热巴鼓舞》,15,考研,250,0.74
《西藏热巴鼓舞》,16,健康,248,0.73
《西藏热巴鼓舞》,17,自己,241,0.71
《西藏热巴鼓舞》,18,快乐,229,0.68
《西藏热巴鼓舞》,19,哈哈哈哈,197,0.58
《西藏热巴鼓舞》,20,啊啊啊,194,0.57
《打铁花》表演,1,心想事成,1002,4.58
《打铁花》表演,2,上岸,753,3.45
《打铁花》表演,3,万事如意,609,2.79
《打铁花》表演,4,身体健康,499,2.28
《打铁花》表演,5,平安,486,2.22
《打铁花》表演,6,2025,399,1.83
《打铁花》表演,7,万事,386,1.77
《打铁花》表演,8,顺利,343,1.57
《打铁花》表演,9,家人,340,1.56
《打铁花》表演,10,好,260,1.19
《打铁花》表演,11,顺遂,257,1.18
《打铁花》表演,12,考研,253,1.16
《打铁花》表演,13,健康,244,1.12
《打铁花》表演,14,自己,187,0.86
《打铁花》表演,15,喜乐,183,0.84
《打铁花》表演,16,成功,167,0.76
《打铁花》表演,17,工作,161,0.74
《打铁花》表演,18,年,153,0.70
《打铁花》表演,19,顺意,151,0.69
《打铁花》表演,20,找到,145,0.66
《新疆舞：亚丽古拉》,1,啊啊啊,276,3.21
《新疆舞：亚丽古拉》,2,发来,265,3.08
《新疆舞：亚丽古拉》,3,好,221,2.57
《新疆舞：亚丽古拉》,4,好美,118,1.37
《新疆舞：亚丽古拉》,5,吒,117,1.36
《新疆舞：亚丽古拉》,6,美好,108,1.26
《新疆舞：亚丽古拉》,7,新年快乐,93,1.08
《新疆舞：亚丽古拉》,8,姐姐,92,1.07
《新疆舞：亚丽古拉》,9,新疆,90,1.05
《新疆舞：亚丽古拉》,10,老师,87,1.01
《新疆舞：亚丽古拉》,11,呜呜,86,1.00
《新疆舞：亚丽古拉》,12,鲜花,83,0.96
《新疆舞：亚丽古拉》,13,回春,80,0.93
《新疆舞：亚丽古拉》,14,丹,77,0.90
《新疆舞：亚丽古拉》,15,美,65,0.76
《新疆舞：亚丽古拉》,16,漂亮,65,0.76
《新疆舞：亚丽古拉》,17,大学,61,0.71
《新疆舞：亚丽古拉》,18,啦,48,0.56
《新疆舞：亚丽古拉》,19,aespa,48,0.56
《新疆舞：亚丽古拉》,20,赞赞,48,0.56
